start,end
17604,26276
17604,26277
17604,34605
17604,72279
17604,72620
17888,25877
17888,26138
17888,40405
17888,40784
17901,25877
17901,26138
17901,40405
17940,26164
17940,26885
17940,27418
17940,33403
17940,71443
18159,17604
18159,26276
18159,26277
18159,34605
18159,41340
18159,72279
18159,72620
18159,72994
18232,27638
18232,34605
18232,35758
18232,37393
18232,40941
18232,41340
18232,43646
18232,44650
18232,72279
18232,72620
18232,72994
18232,75080
18236,27650
18236,27662
18236,33264
18236,34183
18236,34621
18236,34630
18236,40941
18236,42383
18236,72284
18236,72994
18236,75080
18611,27311
18611,27313
18611,33378
18611,33971
18611,36101
18611,40066
18611,42611
18611,43293
18611,43307
18611,72121
18611,72801
18611,74075
18611,74685
18611,74714
18679,27311
18679,27313
18679,33378
18679,33971
18679,36962
18679,40066
18679,43307
18679,72121
18679,72801
18679,74129
18679,74714
18679,76725
18840,26164
18840,26885
18840,27418
18840,33403
18840,33408
18840,36283
18840,40841
18840,41627
18840,42119
18840,42735
18840,71443
18840,74187
18840,74817
18840,75410
18858,26164
18858,26885
18858,27418
18858,29081
18858,29158
18858,30257
18858,33403
18858,33408
18858,36244
18858,36253
18858,36283
18858,37094
18858,37104
18858,40841
18858,41627
18858,42119
18858,42735
18858,43415
18858,43431
18858,71443
18858,74187
18858,74817
18858,75410
18858,76781
18968,27498
18968,34086
18968,36432
18968,40158
18968,42235
18968,71948
19211,26621
19211,27650
19211,27662
19211,28453
19211,33264
19211,33516
19211,34183
19211,34621
19211,34630
19211,35781
19211,36672
19211,40958
19211,42383
19211,45463
19211,71342
19211,72284
19211,73007
19309,27650
19309,27662
19309,28453
19309,33264
19309,34183
19309,34621
19309,34630
19309,35781
19309,40941
19309,42383
19309,72284
19309,72994
19309,75080
19309,76565
19329,27733
19329,27735
19329,34209
19329,34654
19329,34671
19329,38117
19329,40600
19329,40999
19329,43697
19329,44230
19329,44704
19329,71542
19329,76128
19341,27733
19341,27735
19341,34209
19341,34654
19341,34671
19341,38117
19341,40600
19341,40999
19341,43697
19341,44230
19341,44704
19341,71542
19341,76128
19600,27756
19600,33854
19600,34686
19600,34708
19600,43736
19600,72669
19730,28712
19730,30890
19730,35977
19730,37559
19730,37570
19730,41908
19730,41922
19730,44308
19730,71586
19730,73999
19730,76219
19872,28797
19872,30951
19872,36043
19872,38228
19872,41970
19872,45217
19872,45222
19872,73535
19872,76681
19872,76685
20021,28864
20021,30035
20021,30065
20021,31688
20021,36101
20021,36935
20021,36962
20021,40066
20021,42611
20021,43293
20021,43307
20021,44380
20021,72121
20021,72801
20021,74075
20021,74685
20021,76287
20021,77042
20398,29081
20398,29120
20398,30204
20398,30225
20398,31107
20398,36244
20398,36253
20398,37060
20398,41627
20398,42119
20398,42732
20398,42735
20398,43385
20398,71443
20398,74187
20398,74795
20398,75372
20518,27418
20518,29081
20518,29120
20518,29158
20518,30225
20518,30257
20518,33403
20518,36244
20518,36253
20518,36283
20518,37094
20518,37104
20518,41627
20518,42119
20518,42732
20518,42735
20518,43415
20518,71443
20518,74187
20518,74795
20518,74817
20572,27418
20572,29081
20572,29158
20572,30257
20572,30304
20572,36244
20572,36253
20572,36283
20572,37094
20572,37104
20572,40841
20572,41627
20572,42119
20572,42735
20572,43415
20572,43431
20572,71443
20572,74187
20572,74817
20572,75410
20572,76781
20617,27463
20617,28176
20617,30304
20617,30356
20617,33408
20617,35545
20617,37121
20617,40841
20617,41654
20617,43431
20617,43995
20617,73703
20617,74855
20617,75410
20617,75437
20617,76781
20630,27418
20630,29081
20630,29158
20630,30257
20630,30304
20630,33403
20630,33408
20630,36244
20630,36253
20630,36283
20630,37094
20630,37104
20630,40841
20630,41627
20630,42119
20630,42735
20630,43415
20630,43431
20630,71443
20630,74187
20630,74817
20630,75410
20630,76781
21248,28356
21248,30588
21248,35085
21248,37325
21248,38511
21248,42958
21248,43608
21248,45055
21248,73377
21492,27650
21492,27662
21492,28453
21492,34183
21492,34621
21492,34630
21492,35781
21492,36672
21492,40958
21492,42383
21492,45463
21492,71342
21492,72284
21492,73007
21734,34686
21734,34708
21734,39385
21734,43736
21734,72669
21734,78009
22048,28712
22048,30890
22048,35977
22048,37559
22048,37570
22048,41908
22048,41922
22048,44308
22048,73999
22048,76219
22156,28797
22156,30951
22156,36043
22156,38228
22156,41970
22156,45217
22156,45222
22156,73535
22156,76681
22156,76685
22204,28864
22204,30035
22204,30065
22204,31688
22204,36101
22204,36935
22204,36962
22204,40066
22204,42611
22204,43293
22204,43307
22204,44380
22204,72121
22204,72801
22204,74075
22204,74685
22204,76287
22204,77042
22240,30035
22240,30983
22240,36935
22240,37658
22240,44380
22240,73535
22240,74655
22240,76287
22300,28864
22300,30035
22300,30983
22300,36101
22300,36935
22300,37658
22300,42611
22300,43293
22300,44380
22300,74075
22300,74655
22300,74685
22300,76287
22300,77042
22391,30065
22391,31050
22391,31688
22391,36962
22391,38284
22391,38743
22391,39787
22391,43307
22391,44857
22391,72121
22391,72801
22391,74129
22391,74714
22391,76725
22526,30131
22526,37719
22526,40784
22526,43919
22526,45903
22526,75849
22526,77061
22583,29120
22583,30204
22583,30225
22583,31107
22583,37060
22583,38323
22583,40405
22583,42732
22583,43385
22583,44896
22583,74795
22583,75372
22583,76338
22658,29120
22658,30204
22658,30225
22658,31107
22658,37060
22658,38323
22658,40405
22658,42732
22658,43385
22658,44896
22658,74795
22658,75372
22658,76338
22785,28176
22785,29158
22785,30257
22785,30304
22785,35545
22785,36283
22785,37094
22785,37104
22785,37121
22785,40841
22785,41654
22785,43415
22785,43431
22785,43995
22785,73703
22785,74817
22785,74855
22785,75410
22785,75437
22785,76781
23053,30410
23053,31866
23053,32706
23053,36432
23053,38886
23053,39861
23053,42235
23053,44072
23053,45677
23053,77927
23102,30410
23102,31866
23102,36432
23102,37892
23102,39861
23102,40158
23102,42235
23102,71948
23102,77927
23206,31916
23206,38904
23206,45688
23206,72955
23206,77164
23206,77430
23206,77444
23206,78135
23365,30588
23365,31392
23365,35085
23365,37325
23365,38511
23365,41312
23365,42958
23365,43608
23365,45055
23365,73377
23365,75010
23372,28356
23372,30588
23372,31392
23372,35085
23372,37325
23372,38511
23372,42958
23372,43608
23372,45055
23372,73377
23488,30687
23488,31425
23488,31435
23488,35758
23488,37393
23488,38543
23488,38961
23488,41340
23488,43646
23488,44650
23488,45443
23488,45444
23488,72279
23488,72620
23488,77207
23496,30687
23496,31425
23496,31435
23496,34605
23496,35758
23496,37393
23496,38543
23496,38961
23496,41340
23496,43646
23496,44650
23496,45443
23496,45444
23496,72279
23496,72620
23496,77207
23527,30687
23527,31425
23527,31435
23527,35758
23527,37393
23527,38543
23527,38961
23527,40941
23527,41340
23527,43646
23527,44650
23527,45443
23527,45444
23527,72279
23527,72620
23527,72994
23527,75080
23527,76565
23527,77207
23626,31508
23626,32049
23626,32791
23626,38117
23626,43697
23626,44230
23626,44704
23626,76128
23677,32810
23677,43736
23677,78009
23927,30065
23927,31050
23927,31688
23927,36101
23927,36962
23927,38284
23927,38743
23927,42611
23927,43293
23927,43307
23927,44857
23927,72801
23927,74075
23927,74685
23927,74714
23927,76725
23927,77042
24246,30356
24246,31825
24246,32674
24246,38847
24246,38852
24246,45656
24246,75954
24246,77132
24592,32049
24592,32791
24592,38117
24592,39385
24592,44230
24665,32810
24665,78009
24954,31825
24954,32674
24954,38847
24954,38852
24954,45656
24954,75954
24954,77132
25026,31866
25026,32706
25026,32975
25026,38886
25026,39861
25026,45677
25026,77927
25106,33245
25395,32674
26164,71443
26621,33264
26621,33516
26621,71342
26621,71542
26621,78747
26885,33403
26885,33408
26885,71443
27311,33971
27311,40066
27311,72121
27311,72801
27311,78614
27311,80310
27313,33971
27313,40066
27313,72121
27313,72801
27313,78614
27313,80310
27418,40841
27418,71443
27498,34086
27498,40158
27498,71948
27638,34605
27638,40941
27638,41340
27638,72279
27638,72620
27638,72994
27638,78944
27638,79196
27638,79796
27638,79810
27638,80139
27650,34183
27650,34621
27650,34630
27650,40941
27650,72284
27650,72994
27650,79196
27650,79810
27650,80139
27662,34183
27662,34621
27662,34630
27662,40958
27662,42383
27662,72284
27662,73007
27662,81981
27733,34209
27733,34654
27733,34671
27733,40600
27733,40999
27733,78747
27733,79839
27735,34671
27735,34686
27735,40999
27735,72669
27756,34671
27756,34686
27756,40999
27756,72669
27756,79537
28176,35545
28176,40841
28176,41654
28176,43431
28176,73703
28176,74855
28176,75410
28176,75437
28176,80394
28176,81774
28176,81795
28176,82284
28176,82698
28356,35085
28356,41312
28356,42958
28356,73377
28453,35781
28453,36672
28453,42383
28453,73007
28453,81981
28453,83253
28712,35977
28712,41908
28712,41922
28712,73999
28712,81075
28712,82946
28712,83324
28797,36043
28797,41970
28797,73535
28797,79301
28797,80649
28797,81626
28864,36101
28864,36935
28864,36962
28864,42611
28864,43293
28864,43307
28864,72801
28864,74075
28864,74685
28864,76287
28864,81158
28864,81167
28864,82193
28864,83387
29081,36244
29081,36253
29081,36283
29081,37094
29081,37104
29081,41627
29081,42119
29081,42732
29081,42735
29081,43415
29081,74187
29081,74795
29081,74817
29081,80763
29081,81743
29081,83822
29120,36244
29120,36253
29120,37060
29120,41627
29120,42119
29120,42732
29120,42735
29120,43385
29120,74187
29120,74795
29120,75372
29120,80763
29120,81743
29120,82242
29120,83822
29158,36244
29158,36253
29158,36283
29158,37094
29158,41627
29158,42119
29158,42735
29158,43415
29158,43431
29158,74187
29158,74817
29158,75410
29158,82284
30035,36101
30035,36935
30035,42611
30035,43293
30035,44380
30035,74075
30035,74655
30035,74685
30035,76287
30035,81158
30035,81167
30035,83387
30065,36101
30065,36962
30065,42611
30065,43293
30065,43307
30065,74075
30065,74685
30065,74714
30065,76725
30065,80310
30065,81167
30065,82193
30065,83387
30065,83767
30131,37719
30131,43919
30131,75849
30131,77061
30131,83048
30131,84600
30204,37060
30204,42732
30204,43385
30204,44896
30204,74795
30204,75372
30204,76338
30204,80763
30204,81743
30204,82242
30204,83800
30225,36244
30225,36253
30225,37060
30225,42119
30225,42732
30225,42735
30225,43385
30225,74187
30225,74795
30225,75372
30225,80763
30225,81743
30225,82242
30225,83822
30257,36244
30257,36253
30257,36283
30257,37094
30257,37104
30257,41627
30257,42119
30257,42735
30257,43415
30257,43431
30257,74187
30257,74817
30257,75410
30257,76781
30257,82284
30257,83822
30304,37094
30304,37104
30304,37121
30304,43415
30304,43431
30304,43995
30304,73703
30304,74817
30304,74855
30304,75410
30304,75437
30304,76781
30304,80394
30304,81774
30304,82284
30356,37121
30356,43995
30356,74855
30356,75437
30356,80394
30356,81774
30356,81795
30356,82698
30356,83118
30356,84640
30410,37892
30588,37325
30588,42958
30588,43608
30588,73377
30588,80490
30687,37393
30687,43646
30687,44650
30687,75080
30687,76565
30687,77207
30687,79810
30687,80139
30687,82836
30687,84228
30890,37559
30890,37570
30890,44308
30890,76219
30890,81075
30890,83324
30951,38228
30951,45217
30951,45222
30951,76681
30951,76685
30951,83730
30951,84049
30951,84056
30983,37658
30983,44380
30983,74655
30983,76287
30983,81158
30983,81626
30983,84056
31050,38284
31050,38743
31050,44857
31050,74714
31050,76725
31050,81672
31050,82193
31050,83767
31050,84818
31107,38323
31107,43385
31107,44896
31107,75372
31107,76338
31107,81743
31107,82242
31107,83800
31392,38511
31392,45055
31425,38543
31425,38961
31425,44650
31425,45443
31425,45444
31425,76565
31425,77207
31425,82836
31425,84228
31435,38543
31435,38961
31435,44650
31435,45443
31435,45444
31435,75080
31435,76565
31435,77207
31435,82836
31435,84228
31508,38117
31508,44230
31688,38284
31688,38743
31688,44857
31688,76725
31688,77042
31688,83387
31688,83767
31688,84818
31825,38847
31825,38852
31825,45656
31825,75954
31825,77132
31825,83118
31825,84640
31866,38886
31866,45677
31866,77927
31916,38904
31916,45688
31916,77164
31916,77430
31916,77444
31916,84675
31916,84677
32049,39385
32706,39861
32706,77927
33264,71342
33403,71443
33516,71342
33516,71542
33971,40066
33971,72121
33971,78614
34086,40158
34086,71948
34183,72284
34183,73007
34209,40600
34209,78747
34209,79839
34605,72279
34605,72620
34605,78944
34605,79196
34605,79796
34621,40941
34621,72994
34621,79196
34621,79810
34621,80139
34630,40958
34630,73007
34654,40600
34654,40958
34654,73007
34654,78747
34654,79839
34671,40999
34671,72669
34686,40999
34686,72669
34686,79537
34708,79537
34708,80209
35085,41312
35085,73377
35545,41654
35545,73703
35545,80394
35545,81774
35758,72994
35758,79796
35758,79810
35758,80139
35781,42383
35781,75080
35781,81981
35977,41908
