particle_id,vx,vy,vz,px,py,pz,q,nhits
954770680144986112,0.014798400000000001,-0.019702599999999997,-11.7615,-0.135682,-0.394766,2.4539400000000002,-1,11
9010016753287168,0.004312,0.021333,-3.5877800000000004,-0.33284600000000003,0.0240476,2.25639,-1,14
364800022312648704,0.014919100000000001,-0.002212,-11.5247,-0.5644680000000001,0.716334,2.0265299999999997,-1,14
418844317352722432,0.0183655,-0.0168648,4.19268,0.308188,0.5236529999999999,0.28074499999999997,-1,13
409832170295656448,0.0277254,0.00995137,-5.2266699999999995,0.11799100000000001,-0.9549120000000001,-0.373756,1,14
657526507668766720,-0.00138821,-0.00693833,-3.4744,0.702225,1.51506,-1.5495299999999999,-1,12
747605990655922177,23.1118,114.257,-16.3353,0.27812800000000004,-0.0725198,-0.0605696,1,8
180166318924759040,69.1483,-12.901,-170.301,0.182272,-0.019764700000000003,-0.986238,-1,6
427842926672871424,-0.00151902,-0.000912532,0.44868800000000003,-0.718182,-0.114632,5.07043,1,14
851191737006161920,0.00264433,0.0116027,9.48441,0.16256400000000001,-0.0701436,0.356817,-1,10
810661676822036480,43.398999999999994,22.6432,40.3021,0.134728,0.244727,-0.00854909,-1,9
648524874691641344,-0.00627547,0.00229626,-10.127,-0.204146,0.38927,2.05953,1,11
112592464602206209,18.6876,-3.43131,90.5383,-0.289982,-0.232575,0.285648,1,7
707077511019769858,-309.413,-174.202,-803.0139999999999,0.204062,0.0556855,-0.0765802,-1,2
873701901122666496,-0.0202733,-0.00521751,2.11253,-0.27589,0.104876,0.00591651,1,15
306248829110321152,-0.00692475,-0.00551211,9.08789,2.87601,-1.5420399999999999,-26.7988,1,1
382806174484922368,-0.00718249,0.009462700000000001,10.3374,0.598517,0.343579,0.8997280000000001,1,11
126102026516955136,-0.0222061,0.00823095,4.219869999999999,0.0617682,-0.504575,4.185919999999999,-1,15
292744283700592640,0.00917456,0.008978700000000001,11.2888,0.275508,0.0979365,-1.8021099999999999,1,12
103587052053864450,72.0081,-356.18300000000005,1081.65,0.33987399999999995,-0.210054,-0.032559500000000005,1,3
657537021748707328,-36.3034,107.91,-63.0801,-0.386667,1.01876,-0.655438,1,2
238697583478833152,-0.012553,0.00975867,5.53005,0.303842,-0.21112899999999998,0.0635622,-1,11
445867083348049920,0.0008363139999999999,-0.0021718,-5.04407,0.254188,0.333492,-1.51009,1,13
797140157701554176,0.00711298,0.00164107,-1.6835099999999998,0.848449,-0.167508,-2.1415900000000003,1,11
418842530663108609,61.5474,-42.797,123.07799999999999,-0.036539300000000004,0.147144,0.142565,1,2
94581158452396032,0.00375047,0.0105381,6.9397,0.8142659999999999,0.153979,0.628301,-1,12
